	Zg16	Muc2	Clca1	Lypd8	Sprr2a2	mt-Co2	Igkc	Plac8	Tff3	mt-Co1	S100a6	Mptx1	Fcgbp	Hbb-bs	Actb	Dmbt1	Muc3	Saa1	mt-Cytb	mt-Atp6	Krt8	Spink1	Reg4	mt-Nd1	Igha	Txn1	Muc13	mt-Nd4	Tspan1	mt-Nd2	mt-Co3	Tpt1	Krt20	Prdx6	Spink4	B2m	Ly6a	Ceacam1	Jchain	Agr2	Sval1	Hbb-bt	Ptma	Lgals3	Actg1	Hba-a2	Slc25a5	Car4	Ppia	Rps23	mt-Nd3	Tmsb4x	Rpl23	Eef1a1	H2-Aa	Reg3b	Rack1	Rpl27a	Scd2	Rps24	Ccl6	Rps21	Reg3g	Cox8a	Guca2a	Cox7c	Ly6e	Atp1b1	Plet1	Calr	1810065E05Rik	Rplp0	Dstn	Slc26a3	Calm1	Rpl41	Rps14	Rpl10a	Oit1	Itm2b	Tgm3	Hspa5	Lgals4	Aqp8	Hsd11b2	Aqp4	Crip1	Rps3a1	Rpl15	Cox6a1	Rpl30	Rps20	Rps7	Mgat4c	Rpl39	Gm10053	Gm29123	Slpi	Ifit1bl1	Rps27a	Cox5a	mt-Nd5	Eif2s2	Rps16	Tspan8	Rps3	Arf1	Rpl18a	Tm9sf2	Gpa33	Myl6	Chchd2	Rps9	Car1	Cox4i1	Rpl17	Tgoln1	Tmbim6	Gapdh	Rpl31	Gfpt1	Rpl7	Atp5g3	Rpl35a	Rps29	Slc25a3	Cox6b1	Slc26a2	Rpl13a	Atp5a1	Rps13	Wdr24	Hsp90ab1	Gzma	Rpl28	Actn4	H2-Eb1	Rps11	Gm20594	Atp1a1	Srsf1	Uqcrb	Tmem59	Rpl37a	Retnlb	Prdx1	Ezr	Mxd1	Cd9	Sectm1b	Serinc3	Rpl37	Gm8797	Rpl5	Ces2c	Cdh1	Clca3b	Gnas	Manf	Klf4	Smim14	Rps26	Rpl12	Rps25	Eef1b2	Maoa	Rfk	Rpl4	Ubc	Cdh17	Fos	Fth1	Spint2	Clec2h	Hmgb2	Rps19	Jun	Serf2	Gng5	Sycn	H3f3a	Cldn7	Rpl7a	Dynll1	Tmem86a	Pls1	Hk2	Hint1	Rps28	Nfatc2	Rps17	Cdkn1a	P4hb	Cd63	Rpl6	Sec61b	Ccnd2	Cox6c	Ldha	Tm9sf3	Krt19	Rpl10	Tubb5	Adh1	Hspa8	H3f3b	Tagln2	Gm11808	Pigr	Tmed2	Upp1	2200002D01Rik	Gm17541	Rps18	Pabpc1	Cs	Rep15	Id1	Rps8	Pdia6	Ybx1	Atp5g1	Mgst3	Xist	Vdac2	Hmgb1	Fabp6	Rplp1	Slc10a7	Myl12b	Rpn1	Prr13	Klk1	Rps4x	Slc44a4	S100a10	Atp5l	Rps6	Tpd52	Txndc5	Cystm1	Ccl5	Pfn1	Snrpf	Calm2	Rpl14	Clca4b	Hdgf	Cd74	Rps15a	Ceacam10	H2-Ab1	Tm4sf20	Hsp90b1	Cdhr5	Gm9844	Cmpk1	Rpl13	Aldh2	Ctnnd1	Prss32	Clic1	Tmed10	Rpl19	Aco2	Serp1	Set	Actr3	Cd177	Ggh	Bcas1	Slc12a2	Ywhaz	Ckmt1	Iqgap2	Fut2	Ahnak	Rnf31	Tmprss2	Ms4a8a	Spcs2	Duox2	Rrbp1	Cd164	Pcbp2	Rpl22	Gsdmc4	Cox7a2	Anxa2	Btf3	Chp1	Rpsa	Cox5b	Dmxl1	Car2	Sri	Mdh1	Pdlim1	Atp5c1	Ctsb	Wbp5	Sec61g	Hmgcs1	Dbi	Ptp4a1	Cd24a	Eef1g	Cox7b	Uqcr10	Fxyd3	Uqcrq	Atp5b	Gprc5a	Slc13a2	Ywhab	Slc6a8	Myh14	Mboat1	Lars2	Serpinb1a	Rac1	Galnt7	Gmds	S100a11	Emp1	Dsg2	Rbm47	Serpinb6a	Ucp2	Arf4	Tuba1b	Nov	Rps5	St6galnac6	Gpx2	S100a16	Gcnt3	Cd38	Atp5j	Gnb1	Ndufa4	Atp5g2	2210407C18Rik	Arpc2	Rpl36a	Ndufb8	Ctnnb1	Ywhae	Lrrc58	Sppl2a	Uqcrh	Tapbp	Sec61a1	Glul	Apol10a	Rpl26	Rnf128	Atp5f1	Smpdl3a	Golm1	Qsox1	Mcl1	Pkn2	Pmp22	Creb3l1	Gsn	Tkt	Sqrdl	Parm1	Ostc	Sypl	Rps10	Hepacam2	Capzb	Eif4g2	Hnrnpab	Lama4	Eif1	Hnrnpf	Id3	Rpl8	Pcbp1	Ces2e	Rab1a	Rpl38	Krt18	Klf6	Atp5j2	2010107E04Rik	Zfp644	Ybx3	Mrfap1	B3gnt7	Slc5a8	Hoxb13	Shisa5	Tram1	Npm1	Cldn3	Arl1	Suclg1	St3gal4	Lasp1	Prdx5	Uba1	Pold4	Npc2	Gda	Oaz1	Ethe1	Ndufa2	Ywhaq	Slc6a14	Aes	Tax1bp1	Eef2	Pdia3	Cib1	Lurap1l	Ddost	Ndufa6	Cdc42	Nans	Cpd	Dlk1	Atp6ap2	Arf6	Rab2a	Serbp1	S100a14	Usmg5	Elf3	Hnrnpa2b1	Eif5a	Gna11	Stard10	Hnrnpa3	Deptor	Arpc3	Zfp36	Hsp90aa1	Clcn2	Ctss	Atp12a	Gm4262	Gabarap	Slc35c1	Uqcrc2	Msmo1	Ido1	Slc4a7	Rpl34	Psap	Rpl32	Chmp4b	Gsto1	Cyp4f14	Slc39a4	Txnip	Naca	Eif3c	Suclg2	Ahcyl2	Hnf4a	Rhoc	Ddx5	Rplp2	Aph1a	Tomm7	Tmem45b	Cycs	Sult1b1	Clic5	Atp5k	Ptms	Mgat4b	Cttn	Arpc1b	Atp5o	Arpc5	Higd2a	Fuca1	Misp	Rpl21	Chek1	Nudt4	Lamp1	Lima1	Scin	Rpl3	Pla2g10	Efhd2	Capns1	Il13ra1	Pkm	Psma3	Ildr1	Csnk1a1	C1galt1	Gm1123
tmouse_ 989	0	116	0	4	1	22	0	6	2	19	8	3	1	0	18	0	1	1	13	19	2	0	98	14	0	11	1	12	12	15	8	44	1	1	40	10	0	0	0	17	3	0	2	1	4	0	8	0	13	15	10	3	26	11	2	0	35	12	9	5	15	21	0	10	2	14	16	3	1	9	0	12	5	0	6	3	11	6	12	6	0	4	8	0	2	0	4	16	10	7	13	8	13	0	8	2	0	0	0	9	5	8	1	6	9	16	6	9	3	2	4	3	3	0	6	17	1	10	1	6	13	16	2	9	6	2	8	1	5	5	2	7	2	0	9	0	1	3	1	6	0	2	5	4	7	3	0	0	4	0	1	8	7	7	0	2	0	13	8	0	7	3	5	6	4	0	3	5	2	1	9	3	8	1	0	3	17	4	3	6	2	3	5	0	8	1	3	3	5	3	5	0	7	3	2	12	9	0	1	15	2	3	2	2	0	3	1	5	2	12	0	0	11	4	6	4	2	0	7	6	3	2	0	3	1	1	0	2	2	1	0	2	3	6	1	2	2	7	8	3	0	0	4	1	5	6	0	3	2	7	8	0	0	3	1	3	4	1	0	1	1	3	3	4	3	5	1	0	10	0	4	1	0	2	0	7	0	3	1	1	0	4	3	7	5	1	0	1	4	4	1	0	3	5	0	0	4	0	0	0	3	2	3	2	1	12	0	1	4	10	1	4	1	0	1	0	0	1	2	2	1	3	4	0	0	1	0	0	4	1	0	0	4	9	4	5	0	1	3	5	2	2	0	3	5	1	1	4	4	1	1	1	3	3	0	1	0	2	0	2	6	0	1	0	7	1	3	0	0	5	4	3	2	4	0	1	0	2	1	0	4	5	0	4	1	0	0	5	0	0	1	1	7	1	0	1	3	3	3	0	4	1	0	1	1	0	2	0	2	0	1	4	0	0	2	2	1	2	0	1	0	0	4	1	0	3	1	0	0	1	1	3	6	2	1	1	0	1	0	9	1	0	1	0	1	1	0	3	2	0	2	2	1	3	1	0	0	0	1	1	3	1	0	0	0	2	1	1	1	1	1	0	0	0	1	6	4	0	0	2	3	2	1	4	0	0	2	1	0	4	1	1	2	0	0	4	2	1	2	3
tmouse_ 990	509	201	157	70	69	13	0	16	81	27	43	7	81	0	13	2	0	13	13	11	38	71	1	6	0	70	9	4	41	7	6	14	14	9	13	12	9	18	0	13	59	0	0	5	11	0	9	1	2	3	3	9	2	1	3	0	4	0	3	3	6	2	0	11	0	4	13	5	0	17	2	4	11	0	6	2	4	2	0	11	1	12	5	1	12	0	14	1	2	5	0	3	0	0	9	2	2	16	0	1	13	4	7	1	6	2	9	8	6	9	8	7	2	0	3	5	5	7	1	1	7	0	1	2	6	2	0	0	2	0	1	1	0	0	1	2	1	3	1	3	2	2	8	5	3	2	3	5	11	1	7	1	7	0	0	1	0	4	8	12	7	0	0	1	0	1	3	2	1	5	4	0	5	4	0	0	1	7	3	8	1	6	3	11	2	0	5	2	0	0	1	9	9	3	1	2	0	2	2	6	0	1	0	0	1	4	2	3	5	5	0	2	3	3	2	1	5	11	3	1	2	0	6	1	4	1	0	0	5	3	1	2	4	0	1	3	0	1	1	0	6	0	0	0	2	0	0	3	1	3	3	3	0	4	3	1	0	0	5	7	4	6	5	1	3	2	1	2	0	0	7	0	2	0	3	4	9	1	2	2	2	5	3	9	1	0	1	1	3	4	1	0	2	0	0	0	2	3	4	0	4	1	1	1	1	0	0	1	2	3	1	2	5	0	3	5	2	2	0	3	6	5	3	2	0	2	3	2	5	1	0	0	0	0	0	5	4	1	5	3	3	2	0	4	0	4	1	1	0	2	1	3	1	0	0	1	5	1	0	2	3	0	0	0	1	7	1	1	3	3	2	3	1	1	3	2	0	2	1	5	0	1	0	1	1	2	2	1	0	4	0	0	1	0	4	3	4	0	7	2	1	1	5	2	2	0	1	0	3	0	1	0	0	0	2	1	3	2	0	6	3	5	2	1	0	4	0	2	0	3	0	6	0	1	0	4	0	0	3	1	0	0	0	1	0	2	1	0	1	0	1	0	2	1	3	1	0	0	0	0	1	1	0	0	3	1	1	0	0	1	0	1	2	1	0	0	1	2	0	2	0	2	0	2	0	1	2	1	3	0	6	3	3	1	1	0	5	3	3	0
tmouse_ 991	13	3	2	2	1	3	0	2	1	4	6	0	0	0	12	0	2	0	3	1	2	0	1	1	0	13	2	2	0	1	1	8	0	1	2	6	1	1	0	0	0	0	25	1	11	0	10	0	19	22	0	0	21	20	0	0	13	13	3	12	0	12	0	4	0	9	1	2	1	2	0	16	4	0	6	10	6	14	4	0	0	2	0	0	1	0	0	6	8	0	12	9	7	0	6	1	0	0	0	9	1	0	1	8	1	5	5	3	0	2	1	13	6	0	0	5	0	2	6	9	2	5	7	11	2	4	1	1	10	3	12	8	9	0	4	0	0	9	0	0	0	0	1	2	0	4	1	0	0	0	3	7	4	6	1	1	4	3	0	1	1	3	9	6	3	0	3	7	0	0	0	0	0	0	3	4	0	3	1	0	1	1	9	6	3	3	0	5	6	7	3	0	1	0	6	2	1	3	3	1	1	7	5	4	7	10	3	4	0	0	1	0	3	4	5	3	0	1	3	2	4	1	0	6	2	3	1	1	0	1	2	1	0	6	0	0	3	7	4	0	1	0	2	3	0	4	0	0	0	4	0	3	1	1	0	2	2	2	0	3	0	1	2	4	0	2	5	3	0	0	0	3	2	0	0	0	1	4	4	1	0	1	0	1	5	6	0	1	1	1	2	4	0	3	3	0	4	1	0	1	3	1	2	3	2	0	6	4	4	0	3	1	0	0	3	0	0	1	2	1	5	0	6	2	0	0	0	0	2	2	1	0	6	0	5	0	0	0	2	1	0	2	1	7	2	1	3	10	2	0	1	0	0	3	0	1	1	2	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	2	8	0	2	2	0	0	4	0	1	0	0	0	0	1	0	2	2	0	0	2	0	0	6	2	2	3	0	2	0	3	0	1	0	2	1	1	3	0	0	2	3	1	3	0	0	0	2	1	0	0	0	0	1	5	0	2	0	3	5	2	1	7	4	1	0	1	0	0	0	5	2	0	0	0	0	0	0	0	3	1	3	0	0	0	3	2	1	0	1	0	4	2	1	2	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	2	2	1	0	6	0	2	1	0	0	2	0	5	1	0
tmouse_ 992	4	11	0	9	5	240	0	2	1	152	10	7	0	0	7	10	3	0	148	161	11	0	7	60	0	14	4	107	6	74	92	18	3	3	4	3	8	4	0	4	4	0	7	1	11	0	8	0	4	7	46	3	12	6	2	0	10	9	9	2	3	9	0	5	0	4	2	1	2	2	1	12	5	0	3	9	6	7	9	3	0	3	2	0	2	8	0	11	9	4	6	4	8	6	5	3	3	0	0	4	9	8	1	8	1	1	2	6	2	2	1	7	3	1	5	4	1	6	6	9	2	9	1	7	3	8	0	3	8	3	6	5	3	0	4	0	1	4	0	1	2	0	5	3	0	4	0	0	0	0	1	5	2	0	2	1	1	3	0	4	2	2	3	2	5	1	2	4	7	0	6	2	0	0	0	7	0	4	3	1	1	3	3	2	0	2	0	3	8	1	3	3	2	3	3	2	0	1	5	3	0	2	2	0	6	1	2	2	4	0	0	0	4	2	5	0	1	1	1	1	3	7	1	4	1	0	0	2	0	1	0	1	3	7	1	3	4	1	3	1	0	0	0	2	4	2	0	0	3	0	0	0	1	1	0	2	6	1	0	0	0	1	3	6	2	2	1	0	1	0	0	0	4	0	1	0	2	1	0	1	1	0	0	1	2	0	1	0	3	2	0	3	1	3	1	3	1	1	3	5	0	2	1	1	2	0	4	2	2	0	4	1	0	1	3	1	0	1	1	1	1	0	3	2	0	2	0	1	0	1	0	0	2	0	2	0	0	4	1	1	1	3	0	4	4	0	1	1	1	1	4	0	0	0	0	3	1	0	0	3	0	3	0	0	0	0	0	0	2	0	3	1	1	2	5	5	0	1	2	0	1	1	0	2	2	1	2	0	2	0	1	2	0	0	1	1	0	1	0	1	0	0	0	0	1	0	2	0	6	1	0	2	1	0	1	4	1	0	0	2	0	0	3	3	0	0	0	3	1	0	1	1	1	1	0	4	0	1	2	0	2	0	2	0	3	0	0	0	1	0	1	2	0	2	0	0	0	1	0	0	1	1	1	0	1	0	1	2	1	1	2	0	0	1	1	3	0	1	2	3	0	0	3	0	4	0	0	4	0	2	1	1	3	0	0	3	1	1	0	0
tmouse_ 993	7	2	0	224	138	59	0	80	1	46	133	0	0	0	28	23	38	57	37	46	26	1	0	48	0	44	39	30	43	11	20	25	23	74	1	52	60	8	0	0	0	0	3	17	4	0	24	33	4	1	8	9	5	1	27	0	3	0	9	2	0	4	0	9	1	30	5	19	16	11	1	2	14	12	8	2	2	3	2	18	22	9	18	3	0	0	11	0	0	18	3	1	2	0	2	8	6	0	23	2	12	0	14	1	3	2	5	2	10	21	6	5	2	9	14	1	8	3	4	3	9	1	4	0	2	8	8	8	0	2	0	0	3	0	0	6	12	0	2	13	10	9	8	0	0	3	8	6	9	5	0	2	7	1	8	9	9	6	2	3	1	2	0	0	0	1	3	0	14	8	0	5	4	5	0	0	0	2	6	0	3	3	2	2	0	8	4	4	1	0	0	2	1	4	0	2	0	13	9	2	1	0	0	1	1	3	3	2	1	1	2	6	1	0	2	3	0	6	0	0	1	2	5	0	9	0	17	0	6	3	2	4	0	0	6	4	6	0	0	0	7	0	2	1	3	0	9	0	3	2	2	2	15	3	1	0	1	1	1	2	3	2	4	2	1	2	1	2	1	6	0	0	1	1	5	0	3	0	8	8	0	3	2	1	1	0	0	3	7	2	4	1	0	0	3	2	2	6	3	3	0	0	2	5	1	0	1	10	4	0	2	2	4	3	2	3	1	6	0	5	2	0	1	0	0	1	1	2	0	0	0	0	0	0	0	5	0	5	4	1	1	3	5	4	0	3	2	1	2	4	1	5	1	1	0	0	5	1	9	3	0	5	0	2	0	0	1	3	3	1	1	1	0	3	1	2	0	1	0	0	0	1	3	1	1	3	0	3	3	0	0	2	2	2	8	6	1	1	5	3	1	1	2	5	2	0	3	1	0	3	2	0	0	1	0	0	0	1	0	0	7	3	0	1	0	1	1	1	0	3	3	1	0	0	2	0	0	0	3	0	0	2	7	4	0	1	2	3	3	4	0	0	3	0	2	3	1	5	0	0	2	2	0	2	1	0	0	1	1	4	5	11	3	5	0	0	0	1	3	3	1	5	3	0	1	0	2	2	1	1	3	5	1	4	2	0	0	1	0	0
tmouse_ 994	2	44	1	5	2	35	0	1	18	21	9	6	0	1	7	0	0	0	33	16	1	0	136	29	0	8	13	11	13	13	13	21	1	0	30	14	1	4	0	21	7	0	2	1	1	0	8	0	7	7	11	0	7	14	5	0	18	5	19	3	32	7	0	5	7	2	17	14	1	16	1	13	3	0	3	3	5	6	8	6	0	18	4	0	9	0	3	10	11	5	8	8	11	0	4	1	0	0	0	8	2	4	2	6	7	8	10	5	14	1	1	1	1	0	3	8	4	11	6	4	7	4	2	6	3	3	2	3	5	4	8	4	2	0	2	1	2	1	2	9	3	3	5	10	0	6	2	0	5	0	12	8	3	4	0	2	1	2	13	1	4	2	3	6	6	0	4	5	0	2	0	0	8	0	0	1	0	2	1	1	5	0	4	2	1	3	2	3	4	8	3	0	3	4	7	6	3	5	0	7	0	3	0	7	1	1	1	4	5	5	0	1	2	5	2	0	2	1	4	4	1	2	0	3	2	2	0	1	2	1	8	1	3	6	3	2	0	8	3	8	2	0	5	0	2	3	0	0	0	2	1	2	0	5	0	1	1	1	1	0	1	0	7	4	2	4	1	0	4	0	1	3	3	1	0	2	0	6	2	3	2	4	6	4	0	4	0	1	3	0	3	1	2	7	0	2	3	0	0	5	2	4	5	2	2	0	1	1	5	9	2	4	0	0	0	0	0	0	0	0	0	1	3	2	0	1	1	0	2	1	1	0	4	3	1	0	2	0	0	2	1	4	0	2	5	1	2	0	0	0	0	7	3	0	0	1	2	4	0	4	4	0	0	0	2	1	4	0	0	2	1	2	2	0	1	2	0	2	1	0	0	1	0	1	3	0	0	1	2	0	0	1	1	0	2	3	4	2	2	0	0	0	1	0	3	0	0	0	1	0	1	3	0	2	1	4	3	3	0	1	0	1	3	1	0	5	1	2	1	0	1	2	2	0	0	1	2	2	1	0	0	0	0	0	0	0	4	2	1	0	2	2	1	4	0	1	0	0	2	0	2	3	0	0	0	1	1	0	2	2	0	0	0	1	0	1	0	0	2	0	2	3	0	1	1	0	3	0	0	1	3	0	0	3	0	1	0	1	2	4
tmouse_ 995	2	82	0	2	0	30	0	2	0	27	7	0	0	0	8	4	2	1	23	27	0	0	0	24	0	9	3	13	8	20	12	30	0	1	21	12	0	1	0	9	4	0	26	0	1	0	4	0	10	17	5	10	14	17	13	0	12	15	3	10	7	17	1	8	0	1	16	4	2	6	0	5	3	0	3	11	10	5	7	2	0	9	3	0	1	0	1	8	8	7	7	6	8	0	9	3	0	1	0	9	6	6	0	8	3	5	5	8	2	4	1	2	9	0	2	4	10	5	2	5	4	9	3	5	6	3	1	2	2	5	3	4	9	0	3	1	2	5	4	4	1	4	3	3	1	5	4	0	2	0	8	4	3	5	0	3	7	3	2	2	9	8	4	6	11	0	2	7	1	1	6	3	6	0	10	5	3	3	3	0	10	1	4	1	0	1	2	0	6	3	5	0	4	8	10	2	4	2	1	6	0	5	7	5	3	7	3	4	2	4	0	0	2	5	6	1	0	0	3	4	6	3	1	4	4	7	0	3	7	1	5	1	0	8	0	0	3	2	4	5	0	0	8	6	3	2	1	6	4	4	5	3	3	6	0	0	3	1	0	2	1	5	0	6	3	4	4	1	3	0	0	4	2	1	0	5	0	2	1	2	1	1	1	4	4	2	0	0	0	3	0	2	3	1	1	2	3	1	2	2	5	3	3	1	2	2	4	1	2	2	1	1	0	0	2	1	0	1	1	0	1	2	4	3	0	0	1	1	0	3	3	1	4	2	2	0	0	0	1	2	9	2	0	2	2	1	5	1	0	5	3	3	4	3	0	3	2	3	0	2	2	3	1	0	4	0	0	2	0	1	4	1	2	3	5	6	0	2	7	0	2	3	0	4	3	0	2	1	1	0	0	1	4	0	1	1	6	2	1	0	0	0	1	0	0	0	3	0	4	0	3	3	0	2	2	0	3	0	0	1	0	0	3	0	0	0	2	5	2	0	1	1	2	4	0	2	5	2	0	1	2	0	0	0	4	1	3	2	2	0	1	1	1	0	2	3	0	0	0	1	0	0	0	1	0	5	0	0	2	0	0	0	0	1	1	1	1	3	0	3	0	0	1	5	2	0	2	1	0	1	1	1	1	1	0	2	0	0	3	1
tmouse_ 996	9	5	5	10	6	180	0	2	0	83	9	0	0	0	7	12	9	0	112	90	7	0	0	106	0	8	4	66	5	64	95	7	6	3	0	9	4	2	0	0	1	0	2	7	2	0	2	0	4	5	48	3	1	3	1	0	5	2	4	3	1	3	0	3	2	8	2	5	1	6	2	8	9	2	4	5	4	2	3	3	0	2	4	0	1	8	2	2	3	5	2	2	4	1	1	0	2	0	0	3	4	24	2	4	1	0	2	3	0	1	5	4	1	1	6	1	7	3	2	2	1	3	1	4	3	0	5	2	2	3	2	4	2	0	4	1	0	6	8	3	3	0	1	1	0	2	1	1	1	2	2	1	1	2	0	1	2	2	0	0	2	2	2	1	0	0	1	2	1	2	0	2	2	0	0	3	0	2	0	0	2	2	1	3	7	0	0	1	0	5	1	1	0	1	1	3	2	3	3	0	3	0	0	0	1	2	1	5	2	1	1	2	2	2	3	2	0	0	0	0	0	1	0	5	1	0	0	2	0	3	2	1	0	0	0	0	3	0	1	0	1	0	1	0	4	1	2	1	2	2	0	1	0	4	0	1	0	0	1	2	1	1	1	4	0	1	3	3	0	1	1	0	2	3	0	0	2	3	4	2	1	0	5	0	0	2	6	0	1	0	0	2	1	1	2	1	0	0	1	0	0	2	2	1	1	0	1	0	3	0	2	3	0	1	5	0	1	0	18	1	0	1	1	0	0	1	2	2	1	1	1	0	0	2	0	1	0	0	1	0	0	2	0	0	0	2	2	1	1	1	3	0	1	1	6	3	4	0	1	0	0	0	0	0	0	1	0	1	4	1	0	1	0	4	0	0	1	0	0	0	3	0	0	2	0	0	1	3	0	1	2	2	0	2	0	1	1	0	1	0	0	0	0	0	1	0	2	1	4	2	0	1	0	2	0	4	0	1	2	0	1	0	1	0	0	1	3	1	1	2	0	0	2	0	3	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	2	0	0	0	0	0	0	2	0	0	0	2	2	2	0	0	1	2	0	0	2	0	1	0	2	0	0	2	1	0	1	0	1	0	2	0	0	0	0	1	0	2	2	0	3	2	4	1	0	0
tmouse_ 997	11	3	1	85	22	121	0	7	1	52	32	0	0	0	4	104	97	24	48	59	19	1	0	67	0	5	74	66	27	29	62	6	16	18	0	9	23	8	0	0	0	0	0	6	16	0	10	19	1	3	33	0	3	2	9	0	1	0	23	4	1	0	0	1	3	1	2	8	4	11	1	1	1	5	2	1	3	3	2	16	43	10	4	1	1	0	4	1	2	3	2	1	1	5	3	2	7	0	8	1	4	7	3	1	5	0	2	2	14	13	4	2	0	1	1	1	10	16	0	3	16	2	2	1	0	7	0	18	0	10	1	0	1	0	0	6	6	0	4	8	2	4	2	2	0	1	4	7	11	9	1	1	0	2	10	15	0	2	0	2	1	0	1	2	0	7	1	1	6	11	1	2	4	1	0	1	0	1	0	1	1	11	0	0	0	5	7	1	1	0	2	1	0	6	1	1	0	3	8	4	7	1	0	1	4	0	3	0	5	1	1	0	0	0	0	3	0	1	1	1	0	3	1	0	3	1	0	0	1	1	1	0	0	0	11	1	2	0	0	0	0	0	0	0	0	2	7	0	4	2	0	7	3	3	5	0	0	2	0	2	4	4	2	1	5	1	0	2	5	8	0	0	2	7	5	0	15	0	7	5	2	0	1	2	0	0	3	3	7	0	1	0	1	1	2	4	3	2	0	3	0	0	0	0	0	0	1	1	4	0	0	3	6	3	3	5	4	8	0	1	1	2	3	0	0	5	2	1	0	0	0	0	0	0	0	2	0	3	2	1	0	2	1	0	0	2	4	1	0	3	0	6	5	0	3	0	5	2	1	1	0	5	0	7	1	2	0	2	3	0	1	0	0	1	2	0	0	0	1	0	0	1	4	4	0	1	1	1	0	0	1	1	7	2	2	3	1	1	2	0	2	1	1	1	1	0	3	2	1	4	2	0	5	2	4	0	1	0	0	1	3	2	1	2	0	0	2	2	0	1	0	3	2	1	1	0	0	2	0	0	0	7	4	5	0	0	1	0	6	0	1	1	3	0	1	0	2	6	5	0	0	3	2	2	1	2	0	0	0	1	1	0	7	1	0	2	1	1	2	2	0	7	4	1	0	3	1	3	0	1	1	1	0	2	3	1	4	2	0	0
tmouse_ 998	0	37	0	21	1	17	0	6	33	23	13	22	4	0	19	0	0	0	23	12	10	9	22	14	0	14	11	9	10	13	10	33	2	1	15	12	0	3	0	17	14	0	5	1	3	0	10	0	12	17	6	7	18	21	5	0	10	15	0	13	14	13	0	11	1	13	22	7	0	3	0	7	7	0	5	6	5	12	7	10	0	6	3	0	16	0	0	12	9	5	7	4	12	0	12	3	0	0	0	5	8	3	2	7	13	5	8	6	9	10	8	3	4	0	11	9	9	5	1	7	10	11	5	2	11	5	5	1	11	1	6	2	3	0	12	1	4	6	2	3	1	5	5	7	1	7	0	0	2	0	9	10	6	3	0	3	0	3	0	1	6	5	6	8	5	1	4	3	8	0	14	3	5	1	0	3	12	2	2	1	4	4	5	7	0	0	0	3	4	4	3	0	4	2	3	2	5	3	4	4	0	3	0	5	3	6	3	6	4	4	0	0	2	3	2	0	3	1	8	2	0	1	2	5	5	3	0	3	2	5	0	3	1	3	0	2	2	5	4	3	1	0	3	3	1	4	0	2	0	8	0	0	0	3	0	1	6	4	3	2	1	1	2	5	0	1	0	5	2	2	0	4	2	3	2	3	0	3	4	0	3	0	2	2	5	8	0	3	0	4	0	1	1	2	0	3	0	3	4	4	0	1	0	1	1	2	1	2	4	4	0	3	0	0	2	0	1	0	0	1	0	2	5	0	0	0	5	1	3	3	0	0	1	2	0	1	1	0	2	1	7	3	0	2	3	2	0	4	3	1	3	2	1	2	0	4	0	1	0	1	4	0	0	0	1	0	5	0	3	2	2	3	7	1	6	1	0	1	3	0	3	3	0	2	1	1	4	3	2	0	4	5	0	0	3	1	5	0	0	0	3	1	0	0	1	0	3	0	3	0	2	3	0	1	1	5	2	3	0	3	2	5	4	1	0	1	1	1	0	0	2	2	1	0	1	5	4	4	1	1	2	0	1	0	3	1	1	0	2	0	3	3	0	5	3	2	0	0	2	1	1	3	0	0	2	1	1	0	2	2	2	0	0	4	0	0	0	0	4	0	4	0	0	2	2	0	1	0	3	2	2	0	2	3	0	2	1	2	3	5
